Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Enterprise x64
Citect SCADA 2018,Windows 10 Enterprise x64
Ampla Operations Management 2018 R1,Windows 10 Enterprise x64
Citect SCADA 2018 R2,Windows 10 Enterprise x64
Ampla Operations Management 2018 R2,Windows 10 Enterprise x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Professional x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Professional x64
Avantis PRiSM Client 2018 R1,Windows 10 Enterprise x64
SIMSCI DYNSIM 5.3,Windows 10 Enterprise x64
SIMSCI DYNSIM 5.3.1,Windows 10 Enterprise x64
SIMSCI DYNSIM 5.3.2,Windows 10 Enterprise x64
SIMSCI SCP 2.0 1,Windows 10 Enterprise x64
SIMSCI SCP 3.0 1,Windows 10 Enterprise x64
SIMSCI TRISIM 3.1,Windows 10 Enterprise x64
Citect SCADA 2016,Windows 10 Enterprise x64
SIMSCI TRISIM 3.1,Windows 10 Professional
SIMSCI SCP 3.0 1,Windows 10 Professional
SIMSCI SCP 2.0 1,Windows 10 Professional
SIMSCI DYNSIM 5.3.2,Windows 10 Professional
SIMSCI DYNSIM 5.3.1,Windows 10 Professional
SIMSCI DYNSIM 5.3,Windows 10 Professional
Avantis PRiSM Client 2018 R1,Windows 10 Professional
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Professional
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Professional
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Enterprise
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 10 Enterprise
Ampla Operations Management 2018 R1,Windows 10 Enterprise
Ampla Operations Management 2018 R2,Windows 10 Enterprise
Avantis PRiSM Client 2018 R1,Windows 10 Enterprise
SIMSCI DYNSIM 5.3,Windows 10 Enterprise
SIMSCI DYNSIM 5.3.1,Windows 10 Enterprise
SIMSCI DYNSIM 5.3.2,Windows 10 Enterprise
SIMSCI SCP 2.0 1,Windows 10 Enterprise
SIMSCI SCP 3.0 1,Windows 10 Enterprise
SIMSCI TRISIM 3.1,Windows 10 Enterprise
Citect SCADA 2016,Windows 10 Enterprise
Wonderware InTouch Edge HMI 2017 (Update 2),Android 5 Lollipop
Wonderware InTouch Edge HMI 2017 (Update 2),Android 5 Lollipop
Avantis PRiSM Server 2018 R1,Windows Server 2008 R2 Embedded SP1 x64
Wonderware InTouch Access Anywhere 2017 Update 2b,Windows Server 2012 Embedded x64
Wonderware InTouch Access Anywhere 2017 Update 2b,Windows Server 2012 R2 Embedded x64
Citect Historian 2016,Windows Server 2012 R2 Embedded x64
Wonderware Insight Publisher 4.0,Windows Server 2012 R2 Embedded x64
Wonderware Insight Publisher 4.0,Windows Server 2016 Standard x64
Citect SCADA 2018 R2,Windows Server 2016 Standard x64
Wonderware Batch Management  2017,Windows Server 2016 Standard x64
Ampla Operations Management 2018 R1 x64,Windows Server 2016 Standard x64
Industry Software Suites Performance Manager 2.4 x64,Windows Server 2016 Standard x64
Ampla Operations Management 2018 R2 x64,Windows Server 2016 Standard x64
Citect SCADA 2018,Windows Server 2016 Standard x64
Industry Software Suites Line Performance 2.0 x64,Windows Server 2016 Standard x64
Citect SCADA 2016,Windows Server 2016 Standard x64
Industry Software Suites Performance Manager 2.3 x64,Windows Server 2016 Standard x64
